,criteria,model,Video1_mean,Video1_std,Video_MeanTop1_mean,Video_MeanTop1_std
0,direct,rspnet,0.656,0.113,0.542,0.062
1,direct,selavi,0.524,0.116,0.552,0.051
2,direct,gdt,0.69,0.102,0.602,0.096
3,direct,video,0.532,0.172,0.564,0.099
4,direct,tclr,0.288,0.111,0.598,0.031
5,direct,ctp,0.522,0.358,0.566,0.022
6,direct,avid,0.782,0.169,0.62,0.061
7,linear,rspnet,0.446,0.12,0.568,0.057
8,linear,selavi,0.404,0.168,0.534,0.067
9,linear,gdt,0.656,0.163,0.568,0.112
10,linear,video,0.672,0.284,0.61,0.096
11,linear,tclr,0.374,0.14,0.566,0.055
12,linear,ctp,0.448,0.498,0.514,0.07
13,linear,avid,0.41,0.137,0.578,0.049
14,full_finetune,rspnet,0.694,0.276,0.59,0.059
15,full_finetune,selavi,0.578,0.117,0.556,0.081
16,full_finetune,gdt,0.506,0.104,0.584,0.066
17,full_finetune,video,0.72,0.15,0.656,0.115
18,full_finetune,tclr,0.674,0.236,0.588,0.026
19,full_finetune,ctp,0.386,0.194,0.532,0.064
20,full_finetune,avid,0.61,0.272,0.552,0.068
